Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Greta                    Baranauskas                       3         4         8         6         2         2        10         2         1         1         1         9         1         5         9         2
Antanas                  Antanaitis                        3         2         4         9         7         6         2         6         3         5         7         3         8         9         3         7
Ruta                     Stankevicius                      4         4         5         3         2         6         6         7         4        10        10         7         8         6         3         5
Petras                   Jonaitis                          1         2         7         6         6         4         5         2         9        10         8         1         1         3         8         5
Tomas                    Jankauskas                        9         3         2         2         1         9         7         4         3        10         4         3         7         6         5         8
Ruta                     Kazlauskas                        5        10         4         9         3         5         9         2         3         4         6         2         7        10        10         4
Antanas                  Zukauskas                         3         2         2         3         2         7         7         3         2         6         6         8         6         9         2         8
Greta                    Kazlauskas                        8         6         2         2         9         3         5         1         7         4         9         9         5         6         4         5
Ona                      Petraitis                         3         6        10         2         9         8        10         6         8         5         9         1         3         3         5         4
Ona                      Vasiliauskas                      7         6         6         6         6         8         8         4         7         1         2         6        10         9         3         8
Marija                   Paulauskas                        1         3         3         1         8         1         7         6         6         4         3         5         7         1         5         5
Mindaugas                Jankauskas                        6         3         6         6         5         8        10         6         7         1         2         2         6         5         6         4
Jonas                    Petraitis                         9         4         2         4        10         1        10         4         4         7         8         9         2         2         8         6
Petras                   Paulauskas                        8         8         2        10         8         7         1         2         7         3         1         2         6         8         9         7
Tomas                    Jonaitis                          7        10         1         7         7         1         1         8         8         7        10         1         5         2         2         2
Jurate                   Baranauskas                       9         6         7         7         5         8         4         9         6         4         9         2         2         9         4         1
Greta                    Vasiliauskas                      8         7         7         5         1         5         2         7         1         7         6         7         7         1         2         1
Tomas                    Zukauskas                         8         7         4         1         6         2         9         1         2         5         4         9         8        10         4         3
Marija                   Stankevicius                      4         2         7         3        10        10         6         5         3         4         7         4         9         1         2         5
Jurate                   Petraitis                         9         8         7         4         1         3         7        10         4         2         7         8         7         3         2         8
Ona                      Antanaitis                        1         5         9        10         2         2         1         6        10        10         2         3         8         9        10         5
Jonas                    Petraitis                         7         8         6         9         8         8         3         6         8         4        10         8         2         9         9         4
Ona                      Petraitis                         4         2         4         1         8         2         9         4        10         6         3         4         4        10        10         7
Antanas                  Paulauskas                        6         9         8         4         5         6         8         7        10         3         1         5         4        10         8         1
Petras                   Zukauskas                         6         6         2         9         3         8         4        10         8         2         3         3         7         2         1         7
Jurate                   Zukauskas                         3         3         2         8         8         3         8         2         2         2         1         9         5         5         3         3
Jonas                    Jankauskas                       10         2         3         7        10         4         2        10         8         4         1         7         3         5         5         4
Marija                   Jankauskas                        4         1         7         1         3        10         3         4         2         1         5         7         2         6         6         8
Mindaugas                Stankevicius                      9         2         2         4         5         2         2         8         6         3        10         1         7        10         5         3
Antanas                  Jonaitis                         10        10         1         3         8         6         3         4         4         1         5         5         6         2         8         2
Greta                    Vasiliauskas                      1         2         1         1         3         5        10         2         5         4         2         2         6         5         5         4
Tomas                    Jonaitis                          1         9         2         1         1         4         2         4         6         2         6        10         1        10         6         1
Marija                   Jonaitis                          9         5         1         5         5         1         8         7         5         9         7         9         1         9         4         7
Petras                   Antanaitis                       10         1         5         1         9        10         7        10         4         7         4         8        10         1         7        10
Jurate                   Jonaitis                          1         4         8         9         4        10         6         6         9         5         4        10        10         3         3         5
Greta                    Petraitis                         4         4        10         3         4         6         2         5         1         1         2         6         1         6         9         5
Greta                    Paulauskas                        2         8         7         5        10         9        10         5        10         6         5         2         7        10         3         1
Petras                   Baranauskas                       6         8         1        10         3         5        10         8         7         1         7         3         7         6         3         4
Ruta                     Baranauskas                       7         3         4         9         2         2         4         9         2         6         3         8         5         2         6         4
Mindaugas                Vasiliauskas                      1         6        10         8         5         3         4         7         9         2         9        10         7         9         3         1
Marija                   Petraitis                         2         2         8         2         7         7         9         1         9         4         9         9         5         9        10         2
Marija                   Stankevicius                      4         8        10         9         4         1         9         7         2         6        10         8         2         9        10         2
Petras                   Petraitis                        10         8         7         5         9         2         2         9         2         7         1        10         3         5         7         1
Petras                   Kazlauskas                        7         6         2         6         5        10         2         9        10         4         2        10         5         8         3        10
Tomas                    Petraitis                         2         1         7         8         7         5         3         9         1         9        10         2         8         9         7         7
Jonas                    Jonaitis                          7         1         7        10         3         6         7         2        10         1         2        10        10         1         4         4
Ruta                     Jonaitis                          7         7         4         5        10         3         4         2         8         3         3         7         3         4         9         2
Petras                   Jankauskas                        6         9         5        10        10         4         6         7         9        10         6         3         4         9        10         4
Jurate                   Kazlauskas                        7         3         9        10         8        10         4         8         9         9         5         5         8         5         2         9
Greta                    Baranauskas                       4         8         9         8         9         6         2         6         2         5         7         1         2         6         5         1
Jonas                    Kazlauskas                        6         4         3         3         5         2         3        10         4        10         1        10         8         4         3         3
Antanas                  Baranauskas                       3         2         8         8         5         2         2         9         4         6        10         9         5         1         8         4
Antanas                  Jankauskas                        3         3         2         5         4         1         4         1         5         7         1        10         2         1         8        10
Tomas                    Antanaitis                        4         1         6         6         5         7         3         1        10         8         3         4         7         3         3         7
Mindaugas                Antanaitis                        2         3         3         4         9        10         8         5         4        10         6         4         2         9        10        10
Ona                      Jonaitis                          9         6         6         8         6         7         7         7        10         1         2         8         2        10         4         9
Mindaugas                Vasiliauskas                      7         1        10         5         4         4        10         5         8         1        10         3        10         7        10        10
Jurate                   Jankauskas                        5         6         7         6         8         9         6         9         5         8         1         1         1         4         3         1
Tomas                    Jonaitis                          6         4         2         4         2        10         1         2         5         2         8         2         2         8         4         5
Tomas                    Baranauskas                       9         3         3         6         1        10         4         6         3         9         9         2         1        10         6         1
Marija                   Paulauskas                       10        10         3        10         2         7         8         4         6         3         1        10         1         9         2         9
Antanas                  Stankevicius                      7         5        10         6         4         4         8         8        10         5         3         7         7         4         7         9
Ruta                     Petraitis                         4         7         2         3         9         9        10         8         6         3         2         3         2         3         7        10
Ona                      Baranauskas                       6         2         4         2         9         5         5         4         8         2         6         1        10         6         2         5
Ruta                     Jonaitis                          4         4         1         3         1         3         3         7         8         5        10         2         5         4         6         6
Mindaugas                Kazlauskas                        1         4         3         4         9         5         6         9         8         1         5         7         7         7         8         9
Jonas                    Petraitis                         6         4         6         6         8        10         5         7        10         1         2         6         1         6         3         6
Greta                    Antanaitis                        1         6         6         1        10         2         5         2         9         8         9         4         6         8        10         3
Petras                   Baranauskas                       4         1         9         5         6         4         7         7         7         1         8         5         8         7        10        10
Ona                      Jankauskas                        4        10         7         3         7         2         5         5         8        10         1         4         6         9         4        10
Jurate                   Kazlauskas                        5         1         2         9         5         5         5         6         3         7         5         7         3         9         4         4
Petras                   Jonaitis                          5         6         9         9         4        10         3         9         9         9         9        10         7         6         7         8
Jonas                    Jonaitis                          8         5         7        10        10         1         6         9         2         1        10         4         1         8         4         9
Petras                   Paulauskas                        4         3         4        10         6         1        10         1         8         7         5         5         9         5         7         2
Jurate                   Zukauskas                         4         4         5         8         7         4         3         7         4         6         6         2        10         2         2        10
Jurate                   Jonaitis                          2        10         2         1         5         3         4         8         9         2         6         2         6         4         7         7
Jonas                    Vasiliauskas                      1         1        10        10         4         2         4         7         7         8         7        10         8         3         4         1
Marija                   Baranauskas                       5         8         4         9        10         5         8        10         7         7         2         3         1         7         9         2
Ruta                     Kazlauskas                        7         1         2         7         6         2         6         3        10         8         9         8         1         1         8         7
Tomas                    Petraitis                         9         9         2         8         2         4         6         2         1         4         2         3        10         8         6         8
Mindaugas                Baranauskas                       2         7         1         8         2         9         7         3         9         8         8         6         9         9         1         5
Antanas                  Antanaitis                        6         7         3         3        10         1         6        10         7         9         8         6         6         5         7         1
Jurate                   Jankauskas                        4         7         2         7         1         3         4         9         6         8         8         6         4         8         4         9
Petras                   Paulauskas                        6         6         8         3         4         1         8         9        10         9         5        10         4         8        10         9
Ruta                     Jankauskas                        6         6         4         2         2         1        10         6         4        10         4         4         1         4         8         8
Greta                    Paulauskas                        3         1         4         1         4         5         2         7         4         9         2         6         4         6         6         6
Mindaugas                Antanaitis                        9         2         2         3         4         5         9         2        10         1         7        10         7         3         3         8
Antanas                  Vasiliauskas                      2         7         3        10         9         5        10         3         8         2         6         5         3         9         6         1
Antanas                  Paulauskas                        9         2         3         9         7         6         2         8         5         7        10         5         1         9         9         5
Greta                    Antanaitis                       10         1         3         4         9         4         2         3         6         1         9         4         4         6        10         6
Greta                    Zukauskas                         2         6        10         2         7         4         3         7         9         7         8         2        10        10         9         6
Petras                   Baranauskas                       2         4         4        10         7         9         9         8         6         3         1         4         3         9         3         4
Jurate                   Stankevicius                      3         9        10         1         5         4         2         8         8         4         4         8         2         3         5         2
Jurate                   Zukauskas                         4         7         4         2         9         5         6         2         8         3         1         1         8         9         5         9
Jonas                    Antanaitis                        4        10         2         7         6         7         8        10         6         1         3         6         7         9         7        10
Tomas                    Antanaitis                        3         1         5         2         2        10         5         7         9         7         5         6         5         2         7        10
Petras                   Zukauskas                         9         4         5         8         6         2        10         2         3         4         3         7         5         4         8        10
Petras                   Antanaitis                        5         1         2         7         2         7         6         6         1         3         3         4         4         5         9         6
Mindaugas                Paulauskas                        8         1         7         3         5         9         4         1         1         3         8         8         5        10        10         7
Jonas                    Kazlauskas                        6         6         9         1         1         3         4         3         7         1         5         5         5         1         4         4
Jonas                    Kazlauskas                        1         8         8         9        10         1         6         7         8         6         7         1         8         3         3         4
Tomas                    Zukauskas                         9         6         8         1         4        10         5         7         9         2         5         8         2         2         4        10
Petras                   Stankevicius                      7         9         3         3         8         8        10        10         4         1         4        10         9         7         6         3
Mindaugas                Vasiliauskas                      8         8         6         5         1         8         1         9         2         5         8         2         7        10         7         8
Tomas                    Antanaitis                        3        10         5         5         3         8         4         2         6         8         2         3        10         2         6         6
Ona                      Petraitis                         5         1         9         8        10         1         8         7         5         2         6         9         3         1         6         9
Marija                   Zukauskas                        10         9         7         6         6         1         8         5         9         9         5         6         5         2         7         8
Jonas                    Petraitis                        10         3         3         2         1        10         9         7        10         6         1        10         6         7         7         9
Jonas                    Stankevicius                      4         3         9         3         5         1         6         6        10         4         4         2         1         6         1         5
Tomas                    Petraitis                         4         9         7         3         8         9        10         9         9         5         1         7         9         6        10         8
Ona                      Antanaitis                        5         7         3         7         1         3         3         5         1         3         4         9         2         8        10         9
Greta                    Paulauskas                        9        10         8         1         8         1        10         4        10         5        10         2         7         5         6         7
Tomas                    Paulauskas                        3         1         1         8        10         2         7        10        10         9         2         5         8         8         5         2
Ruta                     Kazlauskas                        2         1         5         6         2         7         5         1         1         1         2         2         9         3         6         1
Tomas                    Baranauskas                      10         9        10         1         7         8         8         6         4         1         8        10         6         9         7         2
Greta                    Vasiliauskas                      5         4         8         7         3         8         9         3         6         6         2         3         1         4         1         9
Greta                    Vasiliauskas                      2         6         6        10         2         1         9         8         3         9         8         7         4         5        10         9
Ruta                     Zukauskas                         4         3         6         4         3         9         1        10        10         2         1         1         1         5         9         3
Ruta                     Kazlauskas                        6         2         1         1         8         2         2         1         5        10         6         9        10         6         8         4
Greta                    Vasiliauskas                      7         5         1         8         2         5        10         3         2         2         6         4         8         5        10        10
Jurate                   Zukauskas                         7         7         1         6         6         8        10         1         1         6         6         4         4         7         8         7
Antanas                  Jonaitis                          5         1        10         1         1         7         8        10         7         8         2         4         5         5         7         9
Petras                   Petraitis                         1         7         5         5         3         7         6         3         9         3         2         8         1        10         2         2
Marija                   Jankauskas                        8         9         6         6        10         9         4         4         5         9         1        10         1         9         4         6
Ona                      Vasiliauskas                      6         5         2         9         6         7         6         5         3         3         6         3         9         9         7         4
Tomas                    Jonaitis                          8         1         4         1         9         7        10         5         3         3         5         9         9         2         5         6
Antanas                  Zukauskas                         1         9         4        10         4         5         6         3         7         2         3         5         8         4         1        10
Jonas                    Jankauskas                        5         5         2         7         7         2         5        10         1        10         6         9         3         2        10         5
Ona                      Paulauskas                        2         2         4         8         7         5         4         5         7        10         7         9        10         2         9         9
Petras                   Kazlauskas                        7         2        10         3         3         2         8        10        10         3         5         4         1         5        10        10
Jonas                    Kazlauskas                       10         9         8         9        10         3         2         3         9         3         2         4         8         5         1         4
Ruta                     Kazlauskas                        7        10         7        10         9         8         9        10         7         1         1         1        10         5         2         5
Antanas                  Petraitis                         2         3         5         5         3         3         7        10         2         7         9         1         6         5         1         7
Mindaugas                Paulauskas                        8        10        10         3         2         7         7         5         2         3        10         4         5         8         5         2
Ruta                     Kazlauskas                        7         2        10         4         3         1         9         5        10         7         9         1        10        10         6         3
Jurate                   Paulauskas                        1         3         6         2         1        10         2         6         2         4         4         8         3         1         7         1
Ona                      Petraitis                         6         3         4         8         7         1        10         7        10         3         3         2         6         8         1         8
Jonas                    Baranauskas                      10         3         9         2         3         8         1         6         1         9        10         4         8         7         7         9
Tomas                    Zukauskas                         8         3         7         6        10         6        10         8         9         2         5         1         7         8         1         6
Tomas                    Antanaitis                        6         6         4         2         1         4         6         9         9         5         6         9         3         6         2         9
Ruta                     Vasiliauskas                      6         3         3         3         2         8         8         7         3         1        10         6         6        10         7         1
Jonas                    Stankevicius                      1         8         1         2         6         1        10        10         7         5         3         2         9         6         1         7
Mindaugas                Antanaitis                        4         5         4         8         7         4         8         8         1         8         8         1         7         2         5         3
Greta                    Antanaitis                        7         4         7         4         2         6         5         8         9         1         2         8         8         7         8        10
Tomas                    Paulauskas                        2        10         3         3         9         8         7        10         5         2         6        10         4         3         4         5
Antanas                  Antanaitis                        4         6         9         7         3         2        10         4         6         5         4         3         1         4         9         7
Petras                   Vasiliauskas                      3         6         9         9         1         9         7         5         2         8        10         7         2         4         2         8
Petras                   Paulauskas                        5         5         6         6         2         1        10        10         6         5        10         4         8         8         2         2
Marija                   Baranauskas                       3         9         1         4         3         1        10         9         8         7        10        10         6         1         5         9
Petras                   Petraitis                         1         5        10         5         6        10        10        10         2         1         8         9         7        10         1        10
Marija                   Baranauskas                       4         3        10         4        10         1        10         5         2         9         6         6         9         3         6         7
Ona                      Petraitis                         1         4         9         1         9         3         3         3         6         5         4         2         6         6         1         6
Greta                    Vasiliauskas                      3         7         4         8         1        10         4         1         5         2         4         5         6         6         9         2
Marija                   Petraitis                         3        10         5         4         6         9         3         1         7         3         3        10         6         9         4         4
Ruta                     Jankauskas                        8         5         7         9         4         2         2         5         8         7         2         6         1         5         2         9
Jurate                   Paulauskas                        2         5         8         8         7         6         7         4         4         6        10        10         5         6         1         4
Mindaugas                Petraitis                         4         4         8         6         8         4         3         5        10         8         1         6         1         6         7         8
Greta                    Petraitis                         4         6         5         5         1         8         4         6         5         7         8         1         9         5         1         2
Marija                   Stankevicius                      3         8         1         8         2         5         8         1         8         3         8         7         2         8         5         9
Mindaugas                Vasiliauskas                     10         4         8         4         3        10         1         4         5        10         5         4         4         2        10        10
Ona                      Vasiliauskas                      9         6         6         9         3         5         2         9         5         4         4         4         7         7         3         6
Greta                    Baranauskas                      10         6         8         9         1         3         9         6         8        10         4         4         3         7         7         9
Petras                   Zukauskas                         2         6         7         3         9        10         2        10         6         3         6         3         1         8         8         1
Ruta                     Antanaitis                        6         1         8         8         7         9         1         1         4         9         3         5         8         6         4         5
Jurate                   Stankevicius                      7         1         1         7         9         1         4         9         1         6         5         9         8         9         9         1
Ona                      Kazlauskas                        7         1        10         2         7         2         5         4        10         5         9         1         7         6         5         4
Ona                      Antanaitis                        4         3         3         2         3         4         4         2         6        10         7         7         6         5         9         5
Petras                   Baranauskas                       1        10         7         6         4         6         2         1         1         4         6         3         8         1         8         3
Ruta                     Stankevicius                      8         4         2         8         4         9         6         9         6         7         2         7         2         7         1         7
Jonas                    Vasiliauskas                      7         3         2         6         4         1         6         8         2         3         3        10        10         1         8         8
Mindaugas                Petraitis                         9         6         8         5         8         2         3         3         2         8        10         3         2         2         5         4
Petras                   Zukauskas                         4         3         2         4        10         2         8         9         5        10         1         6         9         1        10         2
Jonas                    Kazlauskas                        5         3         7         6         3         6         1         7         1         5         1         4         6         4         3         6
Marija                   Stankevicius                     10         8         9         5        10         7         2         5         2         5         3         4         1         3         9         5
Tomas                    Jankauskas                        2        10        10         3         9         9         3         5        10         9         9         4         2         5         7         1
Ona                      Zukauskas                         6         1        10         4         4         3         3         3         5         3         1         9        10         1         7         1
Mindaugas                Jankauskas                        3         9         5         2         4         5         1         9         9         5         1         3         1         6         4         8
Ruta                     Zukauskas                         3         8         6         9         2        10         7         6         2         3         1         4         1         1         9         6
Marija                   Antanaitis                        5         4         8        10        10         4         8         8         9         2         6         5        10         9         4         9
Jurate                   Kazlauskas                        6         6         7         2         3         6         1         8         3         8         6         4         5        10         3         7
Antanas                  Jankauskas                        5         4         1         6         5         8         3         1         9         7         6         9         4         8         9        10
Ruta                     Jonaitis                          7         4         5         1         3         8         4         7         3         6         4         8         6         8         8         5
Jurate                   Jankauskas                        9         6         1         9        10        10         6         6         9         5         9         4         7         3         3         6
Petras                   Jonaitis                          2        10        10         7         6        10         2        10         9         9         3         9        10         2         7         6
Jurate                   Antanaitis                        7         7         9         1         1         3         3         3         3         1         8         4         4        10         2         1
Marija                   Petraitis                         8         1         4         7         1         5         9         3         9         1         7         9         1         1         5         3
Greta                    Kazlauskas                        8         5         4         8         3         1         8         2         8         6         2         2         4         2         8         8
Marija                   Paulauskas                        5         2         6         1        10         6         8         4         2         6         9         5         5         1         8         6
Antanas                  Petraitis                         7         6         5         2         2        10        10         8         6         1         3         8         2        10         8         5
Jurate                   Petraitis                         4         3         8         2         9         9         5        10        10         3         8         3         7         5         6         5
Ruta                     Petraitis                         7         9         4         9         6         7        10         7         2         9         8         6         6        10         4         1
Antanas                  Stankevicius                     10         3         8         1         3         8         8         3         4         8         1        10         7         9         3         2
Mindaugas                Jankauskas                        3         4         4         4         1         9         5         3         3         2         5         7        10         4         9        10
Ona                      Petraitis                         4         6         5        10         2         4         2         7         7         7         8         7         1         2         9         9
Ona                      Jankauskas                       10         5         8         7         1         7         8         4         1         5         2         9         4         8         2         5
Ona                      Stankevicius                     10         3         6         6         7         1         1         1         3         7         8         9         7         4         7         6
Antanas                  Jankauskas                        5         5        10         5         6         2         2         1        10         2         3        10         4         9         7         1
Ona                      Stankevicius                      5         4         6         8         3         5         9         7         5         5         1         4         1         6         8         3
Petras                   Vasiliauskas                     10         7         7         4         2         4         2         5        10        10         1         4         6         4         8         7
Jurate                   Jonaitis                         10         7         1         6         1        10         4         9         5         6         2         6         2         1         7         7
Marija                   Paulauskas                       10         9         9         4         3         8         1         5         5         3         6         1         2         1         8         2
Ona                      Jankauskas                        5         7         2         6         5         6        10         4         8         5         1        10        10         1         3         9
Petras                   Stankevicius                      1         6         9         4         3         5         5        10         2         2         9         5         9         5         7         8
Ruta                     Zukauskas                         5         5         6         8         6         5         5         4         4         7         2         2         2         6         7         9
Tomas                    Paulauskas                        3         9         6         1         1         3         1         1        10         5         8         7         2         3         3         8
Jurate                   Stankevicius                      9         8         2         9         9         4         7         6         7         9         1         7         9        10         1        10
Tomas                    Stankevicius                     10        10         9         2         5         8         3         8         4         1         5         6         1         6         1         3
Ruta                     Antanaitis                        6         2        10         6         2         9         5         3        10         6         6         4         5         8         3         7
Jonas                    Baranauskas                       9         2         9        10         3         6         3         1        10         7         2         7         2         5         4         9
Greta                    Vasiliauskas                      8         1         4         4         4         3         7         4         6         5         3         9        10         7         1         4
Petras                   Antanaitis                        7        10         3        10         5         7         5         7         5         8         3         2         2         3         3         3
Mindaugas                Antanaitis                        2         2         3         2         7         7         1         2         5         2         4         6         7         2        10         6
Antanas                  Vasiliauskas                      2         9         2        10        10         8         7         7         3         8        10         5         9         8         3         9
Petras                   Vasiliauskas                      4         4         5        10         5         5         9         8         5         2         7         5         9         5         3        10
